2021/10/06 02:28:54 AM	Lulin	2021/09/22	The sky was cloudy around UT 14:50 â€“ 18:34  and  became clear after UT 18:34.	LP_229-30	1:00:00	GJ1083	3:26:00
2021/10/06 02:30:08 AM	Lulin	2021/09/23	Clouds pass by all night.	LP_229-30	1:45:00	GJ1083	2:53:00
2021/10/06 02:32:09 AM	Lulin	2021/09/24	Clouds pass by all night.	LP_229-30	0:33:00	GJ1083	1:37:00
2021/10/06 02:35:32 AM	Lulin	2021/09/25	The observation after 16:00 UT had thin cloud and the sky was clear after 18:30 UT.	GJ1083	3:47:00		
2021/10/06 02:36:43 AM	Lulin	2021/09/26	The sky was clear after 13:30 UT.	LP_229-30	2:44:00	GJ1083	3:39:00
2021/10/06 02:38:43 AM	Lulin	2021/09/27	The sky was clear after UT 16:30.	LP_229-30	0:49:00	LP_647-13	3:44:00
2021/10/06 02:40:05 AM	Lulin	2021/09/28	Fog pass between UT12:03-13:00,  and the sky was clear in other time. 	LP_647-13	3:34:00		
2021/10/06 02:41:45 AM	Lulin	2021/09/29	The sky was clear all night.	TOI_1749	4:09:00	LP_647-13	4:06:00
2021/10/06 02:43:56 AM	Lulin	2021/09/30	The sky was coudy around UT 12:40-21:00 and 14:00-14:15.	TOI_1749	3:39:00	LP_647-13	3:04:00
2021/10/12 11:02:29 PM	Lulin	2021/06/04	bad weather and no observation				
2021/10/12 11:02:49 PM	Lulin	2021/10/12	rain and no observation				
2021/10/16 12:03:18 PM	Lulin	2021/10/13	cloudy and rain. no observation.				
2021/10/16 12:03:41 PM	Lulin	2021/10/14	cloudy and no observation.				
2021/10/19 12:03:40 PM	Lulin	2021/10/15	cloudy	LP-229-30	0:34:00		
2021/10/19 01:10:12 PM	Lulin	2021/10/16	The weather condition: UT1300-1520 clear,  1520-1600 cloudy 1600-1640 clear,  1640-1730 cloudy,  1730-1750 clear ,  1750-1844 cloudy ,  1844-1930 sometimes cloud pass ,  after 1930 cloudy. 	LP-647-13	0:04:00	GJ1083	3:22:00
2021/10/19 01:12:57 PM	Lulin	2021/10/17	The weather condition: UT1230 - 1254 cloud pass,  1254 -1434 clear ,  1434-1732 cloudy ,  1732-1757 clear ,  1757-1840 thin cloud ,  after 1840 cloudy. 	LP_229-30	1:45:00		
2022/01/11 10:10:04 AM	Lulin	2021/12/21	no observation				
2022/01/11 10:12:04 AM	Lulin	2021/12/22	The sky was clear before UT17:50 and then cloudy.	2MASS J04402325-0530082	5:01:00	2MASS J04351612-1606574	2:00:00
2022/01/11 10:13:09 AM	Lulin	2021/12/23	It was cloudy all night.	2MASS J04351612-1606574	1:16:00		
2022/01/11 10:14:26 AM	Lulin	2021/12/24	The sky was clear between UT 12:20-14:15.	2MASS J04351612-1606574	0:48:00		
2022/01/11 10:14:56 AM	Lulin	2021/12/25	rain and no observation				
2022/01/11 10:15:18 AM	Lulin	2021/12/26	cloudy and no observation.				
2022/01/11 10:20:42 AM	Lulin	2021/12/27	no observation				
2022/01/11 10:21:54 AM	Lulin	2021/12/28	The sky was clear all night.	2MASS J04351612-1606574	3:00:00	2MASS J08533619-0329321	5:47:00
2022/01/11 10:23:07 AM	Lulin	2021/12/29	The sky was clear all night.	2MASS J04402325-0530082	3:45:00	2MASS J08533619-0329321	5:41:00
2022/01/11 10:24:29 AM	Lulin	2021/12/30	The sky was clear between UT 11:15 to 13:50 and cloud/fog pass by sometimes  and clear after UT 14:40. 	2MASS J04402325-0530082	3:50:00	2MASS J08533619-0329321	4:39:00
2022/01/11 10:25:22 AM	Lulin	2021/12/31	The sky was clear all night.	2MASS J04402325-0530082	1:57:00		
2022/01/11 10:26:25 AM	Lulin	2022/01/01	The sky was clear all night.	2MASS J04402325-0530082	4:15:00	2MASS J08255285+6902016	4:41:00
2022/01/11 10:27:34 AM	Lulin	2022/01/02	The sky was clear all night.	2MASS J08255285+6902016	0:19:00	2MASS J04402325-0530082	2:21:00
2022/01/11 10:28:49 AM	Lulin	2022/01/02	The sky was clear all night.	2MASS J04351612-1606574	1:44:00	2MASS J08533619-0329321	4:43:00
2022/01/11 10:29:54 AM	Lulin	2022/01/03	The sky was clear after UT10:50.	2MASS J04351612-1606574	3:28:00	2MASS J08255285+6902016	5:36:00
2022/01/11 10:31:19 AM	Lulin	2022/01/04	It was cloudy all the time.	2MASS J04351612-1606574	1:03:00	2MASS J08533619-0329321	2:33:00
2022/01/11 10:32:10 AM	Lulin	2022/01/05	The weather was unstable and no observation.				
2022/01/11 10:32:32 AM	Lulin	2022/01/06	rain and no observation				
2022/02/09 06:58:52 AM	Lulin	2022/02/03	cloudy and no observation.				
2022/02/09 06:59:51 AM	Lulin	2022/02/04	The sky was clear all night.	2MASS_J08255285+6902016	9:00:00		
2022/02/09 07:01:24 AM	Lulin	2022/02/05	The sky was clear all night.	2MASS_J08533619-0329321	6:57:00	2MASS_J08255285+6902016	2:16:00
2022/02/09 07:02:44 AM	Lulin	2022/02/06	The sky was clear most of the time,  but thin clouds passed between UT 18:50-18:57 and after UT 19:26.	2MASS_J08255285+6902016	8:28:00		
2022/03/07 10:02:14 AM	Lulin	2022/02/25	The sky was clear all night. 	2MASS_J11505787+4822395	3:41:00	2MASS_J14280419+1356137	4:19:00
2022/03/07 10:03:16 AM	Lulin	2022/02/26	The sky was clear all night.	2MASS_J05392474+4038437	3:57:00	2MASS_J14280419+1356137	4:38:00
2022/03/07 10:04:32 AM	Lulin	2022/02/27	The sky was clear all night.	2MASS_J11505787+4822395	3:57:00	2MASS_J14280419+1356137	4:58:00
2022/03/07 10:05:39 AM	Lulin	2022/02/28	The sky was clear all night. 	2MASS_J05392474+4038437	0:36:00	2MASS_J11505787+4822395	2:27:00
2022/03/07 10:06:47 AM	Lulin	2022/02/28	The sky was clear all night. (This is the third target this day)	2MASS_J14280419+1356137	5:30:00		
2022/03/07 10:08:01 AM	Lulin	2022/03/01	The sky was clear all night.	2MASS_J05392474+4038437	0:52:00	2MASS_J11505787+4822395	3:37:00
2022/03/07 10:08:54 AM	Lulin	2022/03/01	The sky was clear all night. (This is the third target this day)	2MASS_J14280419+1356137	3:54:00		
2022/03/07 10:09:49 AM	Lulin	2022/03/02	The sky was clear,  but cloud past after 20:30 UT. 	2MASS_J11505787+4822395	3:38:00	2MASS_J14280419+1356137	5:50:00
2022/05/17 02:23:53 PM	Lulin	2022/05/03	cloudy and rain. no observation.				
2022/05/17 02:24:10 PM	Lulin	2022/05/04	cloudy and rain. no observation.				
2022/05/17 02:25:44 PM	Lulin	2022/05/05	There was thin cloud past after UT16:30.	2MASS_J15345704-1418486	3:08:00		
2022/05/17 02:26:59 PM	Lulin	2022/05/06	The sky was cloudy all night.	2MASS_J15345704-1418486	3:34:00		
2022/05/17 02:27:24 PM	Lulin	2022/05/07	The sky was cloudy and no observation.				
2022/05/17 02:27:53 PM	Lulin	2022/05/08	cloudy and no observation.				
2022/05/17 02:29:25 PM	Lulin	2022/05/09	cloudy all night	2MASS_J15345704-1418486	3:20:00	2MASS_J15242475+2925318	1:03:00
